关键词,编码,品目名称
核仪器与核辐射探测器,A02112400,核仪器与核辐射探测器
交直流电测量仪器,A02112500,交直流电测量仪器
磁场测量仪器,A02112600,磁场测量仪器
综合测量仪,A02112700,综合测量仪
电子和通信测量仪器零部件,A02112800,电子和通信测量仪器零部件
其他电子和通信测量仪器,A02119900,其他电子和通信测量仪器
计量标准器具及量具、衡器,A02120000,计量标准器具及量具、衡器
长度计量标准器具,A02120100,长度计量标准器具
端度计量标准器具,A02120101,端度计量标准器具
线纹计量标准器具,A02120102,线纹计量标准器具
齿轮参数计量标准器具,A02120103,齿轮参数计量标准器具
角度计量标准器具,A02120104,角度计量标准器具
光学仪器检测器具,A02120105,光学仪器检测器具
其他长度计量标准器具,A02120199,其他长度计量标准器具
热学计量标准器具,A02120200,热学计量标准器具
温度计量标准器具,A02120201,温度计量标准器具
热量计量标准器具,A02120202,热量计量标准器具
湿度计量标准器具,A02120203,湿度计量标准器具
其他热学计量标准器具,A02120299,其他热学计量标准器具
力学计量标准器具,A02120300,力学计量标准器具
质量计量标准器具,A02120301,质量计量标准器具
容量计量标准器具,A02120302,容量计量标准器具
密度计量标准器具,A02120303,密度计量标准器具
流量计量标准器具,A02120304,流量计量标准器具
压力及真空计量标准器具,A02120305,压力及真空计量标准器具
测力计量标准器具,A02120306,测力计量标准器具
硬度计量标准器具,A02120307,硬度计量标准器具
振动、加速度及转速计量标准器具,A02120308,振动、加速度及转速计量标准器具
其他力学计量标准器具,A02120399,其他力学计量标准器具
电磁学计量标准器具,A02120400,电磁学计量标准器具
电表类计量标准器具,A02120401,电表类计量标准器具
交流计量标准器具,A02120402,交流计量标准器具
直流计量标准器具,A02120403,直流计量标准器具
高电压大电流计量标准器具,A02120404,高电压大电流计量标准器具
磁特性计量标准器具,A02120405,磁特性计量标准器具
其他电磁学计量标准器具,A02120499,其他电磁学计量标准器具
无线电计量标准器具,A02120500,无线电计量标准器具
电压及功率参数计量标准器具,A02120501,电压及功率参数计量标准器具
信号及脉冲参数计量标准器具,A02120502,信号及脉冲参数计量标准器具
噪声参数计量标准器具,A02120503,噪声参数计量标准器具
元器件参数计量标准器具,A02120504,元器件参数计量标准器具
相位参数计量标准器具,A02120505,相位参数计量标准器具
微波阻抗参数计量标准器具,A02120506,微波阻抗参数计量标准器具
场强参数计量标准器具,A02120507,场强参数计量标准器具
衰减计量标准器具,A02120508,衰减计量标准器具
其他无线电计量标准器具,A02120599,其他无线电计量标准器具
时间频率计量标准器具,A02120600,时间频率计量标准器具
电离辐射计量标准器具,A02120700,电离辐射计量标准器具
光学计量标准器具,A02120800,光学计量标准器具
声学计量标准器具,A02120900,声学计量标准器具
化学计量标准器具,A02121000,化学计量标准器具
地上衡,A02121201,地上衡
地中衡,A02121202,地中衡
轨道衡,A02121203,轨道衡
钢材秤,A02121204,钢材秤
皮带秤,A02121205,皮带秤
配料秤,A02121207,配料秤
定量秤,A02121208,定量秤
台案秤,A02121209,台案秤
液体秤,A02121210,液体秤
气体秤,A02121211,气体秤
料斗秤,A02121212,料斗秤
核子秤,A02121213,核子秤
计数秤,A02121214,计数秤
其他衡器,A02121299,其他衡器
标准物质,A02121300,标准物质
计量标准器具零部件,A02121400,计量标准器具零部件
其他计量标准器具,A02129900,其他计量标准器具
探矿、采矿、选矿和造块设备,A02130000,探矿、采矿、选矿和造块设备
钻探机,A02130100,钻探机
装药填充机械,A02130200,装药填充机械
矿用装载设备,A02130300,矿用装载设备
煤矿生产监测监控设备,A02130400,煤矿生产监测监控设备
煤矿防治水设备,A02130500,煤矿防治水设备
煤矿支护装备,A02130600,煤矿支护装备
提升、运输设备和绞车,A02130700,提升、运输设备和绞车
选矿和洗矿设备,A02130800,选矿和洗矿设备
造块设备,A02130900,造块设备
探矿、采矿、选矿和造块设备零部件,A02131000,探矿、采矿、选矿和造块设备零部件
其他探矿、采矿、选矿和造块设备,A02139900,其他探矿、采矿、选矿和造块设备
石油天然气开采设备,A02140000,石油天然气开采设备
油气水井设施,A02140100,油气水井设施
油气汽水集输设施,A02140200,油气汽水集输设施
油气汽水处理设施,A02140300,油气汽水处理设施
油田机械,A02140400,油田机械
石油天然气开采设备零部件,A02140500,石油天然气开采设备零部件
其他石油天然气开采设备,A02149900,其他石油天然气开采设备
石油和化学工业设备,A02150000,石油和化学工业设备
石油储备库设备,A02150100,石油储备库设备
长输管线,A02150200,长输管线
界区间管线,A02150300,界区间管线
界区间罐区设施,A02150400,界区间罐区设施
输油（气）站,A02150500,输油（气）站
炼油生产装置,A02150600,炼油生产装置
润滑油生产装置,A02150700,润滑油生产装置
基本有机化工原料生产装置,A02150800,基本有机化工原料生产装置
合成树脂生产装置,A02150900,合成树脂生产装置
合成橡胶生产装置,A02151000,合成橡胶生产装置
合成纤维原料生产装置,A02151100,合成纤维原料生产装置
合成纤维及合纤聚合物生产装 置,A02151200,合成纤维及合纤聚合物生产装 置
化肥生产装置,A02151300,化肥生产装置
无机化工生产装置,A02151400,无机化工生产装置
炼油催化剂生产装置,A02151500,炼油催化剂生产装置
基本有机化工原料催化剂生产装置,A02151600,基本有机化工原料催化剂生产装置
合成树脂催化剂生产装置,A02151700,合成树脂催化剂生产装置
合成橡胶催化剂生产装置,A02151800,合成橡胶催化剂生产装置
添加剂助剂生产装置,A02151900,添加剂助剂生产装置
催化剂原料生产装置,A02152000,催化剂原料生产装置
催化剂检验分析评价装置,A02152100,催化剂检验分析评价装置
辅助生产装置,A02152200,辅助生产装置
油品销售设施类,A02152300,油品销售设施类
橡胶设备,A02152400,橡胶设备
塑料机械,A02152500,塑料机械
日用化学品设备,A02152600,日用化学品设备
林产化工机械,A02152700,林产化工机械
石油和化学工业设备零部件,A02152800,石油和化学工业设备零部件
其他石油和化学工业设备,A02159900,其他石油和化学工业设备
炼焦和金属冶炼轧制设备,A02160000,炼焦和金属冶炼轧制设备
炼焦设备,A02160100,炼焦设备
炼铁设备,A02160200,炼铁设备
炼钢设备,A02160300,炼钢设备
有色金属冶炼设备,A02160400,有色金属冶炼设备
铁合金设备,A02160500,铁合金设备
金属轧制机械及拉拔设备,A02160600,金属轧制机械及拉拔设备
冶金专用车辆,A02160700,冶金专用车辆
炼焦和金属冶炼轧制设备零部件,A02160800,炼焦和金属冶炼轧制设备零部件
其他炼焦和金属冶炼轧制设备,A02169900,其他炼焦和金属冶炼轧制设备
电力工业设备,A02170000,电力工业设备
电站锅炉及辅助设备,A02170100,电站锅炉及辅助设备
汽轮发电机组,A02170200,汽轮发电机组
水轮发电机组,A02170300,水轮发电机组
输电线路,A02170400,输电线路
配电线路,A02170500,配电线路
变电设备,A02170600,变电设备
电力专用自动化控制设备,A02170700,电力专用自动化控制设备
架线设备,A02170800,架线设备
电站制氢设备,A02170900,电站制氢设备
电力工业设备零部件,A02171000,电力工业设备零部件
其他电力工业设备,A02179900,其他电力工业设备
非金属矿物制品工业设备,A02180000,非金属矿物制品工业设备
水泥及水泥制品设备,A02180100,水泥及水泥制品设备
玻璃及玻璃制品制造设备,A02180200,玻璃及玻璃制品制造设备
陶瓷制品生产设备,A02180300,陶瓷制品生产设备
墙体、地面材料,A02180400,墙体、地面材料
石棉、耐火制品及其他非金属 矿物制品设备,A02180500,石棉、耐火制品及其他非金属 矿物制品设备
非金属矿物切削加工设备,A02180600,非金属矿物切削加工设备
非金属矿物制品工业设备零部件,A02180700,非金属矿物制品工业设备零部件
其他非金属矿物制品工业设备,A02189900,其他非金属矿物制品工业设备
核工业设备,A02190000,核工业设备
核反应堆设备,A02190100,核反应堆设备
核用矿冶设备,A02190200,核用矿冶设备
核电站设备,A02190300,核电站设备
核燃料循环设备,A02190400,核燃料循环设备
核地勘设备,A02190500,核地勘设备
核聚变试验装置,A02190600,核聚变试验装置
核技术应用设备,A02190700,核技术应用设备
核工业设备零部件,A02190800,核工业设备零部件
其他核工业设备,A02199900,其他核工业设备
航空航天工业设备,A02200000,航空航天工业设备
飞机、火箭、导弹、卫星总装调试设备,A02200100,飞机、火箭、导弹、卫星总装调试设备
控制、遥测、能源、制导系统用设备,A02200200,控制、遥测、能源、制导系统用设备
人造卫星,A02200300,人造卫星
弹（星）体加工设备,A02200400,弹（星）体加工设备
发动机设备,A02200500,发动机设备
驾驶系统和惯性器件设备,A02200600,驾驶系统和惯性器件设备
战斗部设备,A02200700,战斗部设备
火工品设备,A02200800,火工品设备
制造地面系统设备,A02200900,制造地面系统设备
试验设备,A02201000,试验设备
航天专用工艺设备,A02201100,航天专用工艺设备
全弹发动机试车台,A02201200,全弹发动机试车台
地面飞行训练器,A02201300,地面飞行训练器
航天产品用特种车,A02201400,航天产品用特种车
航空航天工业设备零部件,A02201500,航空航天工业设备零部件
其他航空航天工业设备,A02209900,其他航空航天工业设备
工程机械,A02210000,工程机械
挖掘机械,A02210100,挖掘机械
铲土运输机械,A02210200,铲土运输机械
工程起重机械,A02210300,工程起重机械
工业车辆,A02210400,工业车辆
压实机械,A02210500,压实机械
路面及养护机械,A02210600,路面及养护机械
桩工机械,A02210700,桩工机械
混凝土机械,A02210800,混凝土机械
凿岩与掘进机械,A02210900,凿岩与掘进机械
钢筋及预应力机械,A02211000,钢筋及预应力机械
气动工具,A02211100,气动工具
装修与高处作业机械,A02211200,装修与高处作业机械
工程机械零部件,A02211300,工程机械零部件
其他工程机械,A02219900,其他工程机械
农业和林业机械,A02220000,农业和林业机械
拖拉机,A02220100,拖拉机
土壤耕整机械,A02220200,土壤耕整机械
种植施肥机械,A02220300,种植施肥机械
植物管理机械,A02220400,植物管理机械
园林机械,A02220500,园林机械
农作物及林特产品收获机械,A02220600,农作物及林特产品收获机械
收获后处理机械,A02220700,收获后处理机械
农林产品初加工机械,A02220800,农林产品初加工机械
农用搬运机械,A02220900,农用搬运机械
排灌机械,A02221000,排灌机械
农村可再生能源利用设备,A02221100,农村可再生能源利用设备
设施农业设备,A02221200,设施农业设备
农用动力机械,A02221300,农用动力机械
草原建设机械,A02221400,草原建设机械
草料加工设备,A02221500,草料加工设备
畜牧饲养机械,A02221600,畜牧饲养机械
畜禽产品采集加工机械,A02221700,畜禽产品采集加工机械
水产养殖机械,A02221800,水产养殖机械
水产品捕捞和采集机械,A02221900,水产品捕捞和采集机械
水产品初加工机械,A02222000,水产品初加工机械
制网机械,A02222100,制网机械
农业和林业机械零部件,A02222200,农业和林业机械零部件
其他农业和林业机械,A02229900,其他农业和林业机械
木材采集和加工设备,A02230000,木材采集和加工设备
木材采伐和集运机械,A02230100,木材采伐和集运机械
木工机床,A02230200,木工机床
木质纤维加工设备,A02230300,木质纤维加工设备
人造板加工设备,A02230400,人造板加工设备
木材干燥设备,A02230500,木材干燥设备
木材防腐设备,A02230600,木材防腐设备
林业生物质工程设备,A02230700,林业生物质工程设备
木材采集和加工机械零部件,A02230800,木材采集和加工机械零部件
其他木材采集和加工机械,A02239900,其他木材采集和加工机械
食品加工设备,A02240000,食品加工设备
制糖机械,A02240100,制糖机械
糕点糖果及果品加工机械,A02240200,糕点糖果及果品加工机械
菜类食品加工机械,A02240300,菜类食品加工机械
屠宰、肉食品及蛋品加工机械,A02240400,屠宰、肉食品及蛋品加工机械
食品蒸煮机械,A02240500,食品蒸煮机械
食品杀菌器械,A02240600,食品杀菌器械
食品均质机,A02240700,食品均质机
调味品加工机械,A02240800,调味品加工机械
罐头食品生产线,A02240900,罐头食品生产线
饮食炊事机械,A02241000,饮食炊事机械
食品检测、监测设备,A02241100,食品检测、监测设备
食品加工设备零部件,A02241200,食品加工设备零部件
其他食品加工设备,A02249900,其他食品加工设备
饮料加工设备,A02250000,饮料加工设备
酿酒设备,A02250100,酿酒设备
无醇饮料加工设备,A02250200,无醇饮料加工设备
饮料加工设备零部件,A02250300,饮料加工设备零部件
其他饮料加工设备,A02259900,其他饮料加工设备
烟草加工设备,A02260000,烟草加工设备
烟用加温加湿机械,A02260100,烟用加温加湿机械
烟用解把机械,A02260200,烟用解把机械
烟用除杂、筛分机械,A02260300,烟用除杂、筛分机械
烟用叶梗分离机械,A02260400,烟用叶梗分离机械
烟用烘烤机械,A02260500,烟用烘烤机械
烟用预压打包机械,A02260600,烟用预压打包机械
烟用开（拆）包机械,A02260700,烟用开（拆）包机械
烟用叶片分切机械,A02260800,烟用叶片分切机械
烟用切丝机械,A02260900,烟用切丝机械
烟用烘丝机械,A02261000,烟用烘丝机械
烟用冷却机械,A02261100,烟用冷却机械
烟用香精香料调配及加料加香机械,A02261200,烟用香精香料调配及加料加香机械
烟用压梗机械,A02261300,烟用压梗机械
烟丝膨胀机械,A02261400,烟丝膨胀机械
烟丝输送机械,A02261500,烟丝输送机械
再造烟叶机械,A02261600,再造烟叶机械
烟用卷接机械,A02261700,烟用卷接机械
烟用包装机械,A02261800,烟用包装机械
烟用滤棒成型机,A02261900,烟用滤棒成型机
烟用装封箱机,A02262000,烟用装封箱机
废烟支、烟丝回收装置,A02262100,废烟支、烟丝回收装置
烟草加工机械零部件,A02262200,烟草加工机械零部件
其他烟草加工机械,A02269900,其他烟草加工机械
粮油作物和饲料加工设备,A02270000,粮油作物和饲料加工设备
通用清理机械,A02270100,通用清理机械
碾米机械,A02270200,碾米机械
面粉加工设备,A02270300,面粉加工设备
榨油机械,A02270400,榨油机械
油脂浸出机械,A02270500,油脂浸出机械
油脂精炼设备,A02270600,油脂精炼设备
饲料加工设备,A02270700,饲料加工设备
食品油脂加工设备,A02270800,食品油脂加工设备
粮油作物和饲料加工设备零部件,A02270900,粮油作物和饲料加工设备零部件
其他粮油作物和饲料加工设备,A02279900,其他粮油作物和饲料加工设备
纺织设备,A02280000,纺织设备
化纤机械,A02280100,化纤机械
棉纺织机械,A02280200,棉纺织机械
毛纺织机械,A02280300,毛纺织机械
麻纺织机械,A02280400,麻纺织机械
丝绸机械及绢纺机械,A02280500,丝绸机械及绢纺机械
针织机械,A02280600,针织机械
染整机械,A02280700,染整机械
非织造织物设备,A02280800,非织造织物设备
毛毯加工机械,A02280900,毛毯加工机械
纺织设备零部件,A02281000,纺织设备零部件
其他纺织设备,A02289900,其他纺织设备
缝纫、服饰、制革和毛皮加工设备,A02290000,缝纫、服饰、制革和毛皮加工设备
缝纫机,A02290100,缝纫机
服装加工机械,A02290200,服装加工机械
羽绒加工设备,A02290300,羽绒加工设备
工业洗涤机械,A02290400,工业洗涤机械
制鞋机械,A02290500,制鞋机械
制帽机械,A02290600,制帽机械
制革机械,A02290700,制革机械
毛皮加工机械,A02290800,毛皮加工机械
皮革制品加工机械,A02290900,皮革制品加工机械
缝纫、服饰、制革和毛皮加工机械零部件,A02291000,缝纫、服饰、制革和毛皮加工机械零部件
其他缝纫、服饰、制革和毛皮加工机械,A02299900,其他缝纫、服饰、制革和毛皮加工机械
造纸和印刷机械,A02300000,造纸和印刷机械
造纸机械,A02300100,造纸机械
图像制版机械,A02300200,图像制版机械
文字制版机械,A02300300,文字制版机械
照排设备,A02300400,照排设备
盲文印刷机,A02300500,盲文印刷机
装订机械,A02300600,装订机械
数码印刷机,A02300700,数码印刷机
造纸纵切机,A02300800,造纸纵切机
切纸机,A02300900,切纸机
切割机,A02301000,切割机
盘纸分切机,A02301100,盘纸分切机
切蜡光纸机,A02301200,切蜡光纸机
裁纸机,A02301300,裁纸机
其他造纸和印刷机械,A02309900,其他造纸和印刷机械
化学药品和中药设备,A02310000,化学药品和中药设备
化学原料药加工机械,A02310100,化学原料药加工机械
制剂机械,A02310200,制剂机械
中药机械,A02310300,中药机械
药瓶洗理机械,A02310400,药瓶洗理机械
药用干燥设备,A02310500,药用干燥设备
制药蒸发设备和浓缩设备,A02310600,制药蒸发设备和浓缩设备
药品专用包装机械,A02310700,药品专用包装机械
粉碎、筛粉设备,A02310800,粉碎、筛粉设备
化学药品和中药设备零部件,A02310900,化学药品和中药设备零部件
其他化学药品和中药设备,A02319900,其他化学药品和中药设备
医疗设备,A02320000,医疗设备
手术器械,A02320100,手术器械
普通诊察器械,A02320200,普通诊察器械
医用电子生理参数检测仪器设备,A02320300,医用电子生理参数检测仪器设备
医用光学仪器,A02320400,医用光学仪器
医用超声波仪器及设备,A02320500,医用超声波仪器及设备
医用激光仪器及设备,A02320600,医用激光仪器及设备
医用内窥镜,A02320700,医用内窥镜
物理治疗、康复及体育治疗仪器设备,A02320800,物理治疗、康复及体育治疗仪器设备
中医器械设备,A02320900,中医器械设备
医用磁共振设备,A02321000,医用磁共振设备
医用磁共振设备辅助装置,A02321100,医用磁共振设备辅助装置
医用 X 线诊断设备,A02321200,医用 X 线诊断设备
医用 X 线附属设备及部件,A02321300,医用 X 线附属设备及部件
医用放射射线治疗设备,A02321400,医用放射射线治疗设备
核医学诊断设备,A02321500,核医学诊断设备
核医学诊断设备辅助装置,A02321600,核医学诊断设备辅助装置
医用射线防护设备,A02321700,医用射线防护设备
医用射线监检测设备及用具,A02321800,医用射线监检测设备及用具
临床检验设备,A02321900,临床检验设备
药房设备及器具,A02322000,药房设备及器具
体外循环设备,A02322100,体外循环设备
人工脏器及功能辅助装置,A02322200,人工脏器及功能辅助装置
假肢装置及部件,A02322300,假肢装置及部件
手术室设备及附件,A02322400,手术室设备及附件
急救和生命支持设备,A02322500,急救和生命支持设备
介/植入诊断和治疗用器械,A02322600,介/植入诊断和治疗用器械
病房护理及医院设备,A02322700,病房护理及医院设备
消毒灭菌设备及器具,A02322800,消毒灭菌设备及器具
医用低温、冷疗设备,A02322900,医用低温、冷疗设备
防疫、防护卫生装备及器具,A02323000,防疫、防护卫生装备及器具
助残器械,A02323100,助残器械
骨科植入部件,A02323200,骨科植入部件
口腔设备及器械,A02323300,口腔设备及器械
兽医设备,A02323400,兽医设备
医疗设备零部件,A02323500,医疗设备零部件
其他医疗设备,A02329900,其他医疗设备
电工、电子生产设备,A02330000,电工、电子生产设备
电工生产设备,A02330100,电工生产设备
电池生产设备,A02330200,电池生产设备
电子工业生产设备,A02330300,电子工业生产设备
家用电器生产设备,A02330400,家用电器生产设备
电工、电子生产设备零部件,A02330500,电工、电子生产设备零部件
其他电工、电子生产设备,A02339900,其他电工、电子生产设备
安全生产设备,A02340000,安全生产设备
煤矿安全设备,A02340100,煤矿安全设备
非煤矿山安全设备,A02340200,非煤矿山安全设备
危险化学品安全设备,A02340300,危险化学品安全设备
烟花爆竹行业安全设备,A02340400,烟花爆竹行业安全设备
公路行业安全设备,A02340500,公路行业安全设备
铁路行业安全设备,A02340600,铁路行业安全设备
民航行业安全设备,A02340700,民航行业安全设备
应急救援设备类,A02340800,应急救援设备类
安全生产设备零部件,A02340900,安全生产设备零部件
其他安全生产设备,A02349900,其他安全生产设备
邮政设备,A02350000,邮政设备
邮政内部处理设备,A02350100,邮政内部处理设备
邮政营业投递设备,A02350200,邮政营业投递设备
邮政除尘设备,A02350300,邮政除尘设备
邮政清洗缝补设备,A02350400,邮政清洗缝补设备
邮政储汇设备,A02350500,邮政储汇设备
邮政设备零部件,A02350600,邮政设备零部件
其他邮政设备,A02359900,其他邮政设备
环境污染防治设备,A02360000,环境污染防治设备
大气污染防治设备,A02360100,大气污染防治设备
水质污染防治设备,A02360200,水质污染防治设备
固体废弃物处理设备,A02360300,固体废弃物处理设备
噪声控制设备,A02360400,噪声控制设备
环保监测设备,A02360500,环保监测设备
金属废料回收设备,A02360600,金属废料回收设备
非金属废料回收设备,A02360700,非金属废料回收设备
核与辐射安全设备,A02360800,核与辐射安全设备
环境污染防治设备零部件,A02360900,环境污染防治设备零部件
其他环境污染防治设备,A02369900,其他环境污染防治设备
政法、消防、检测设备,A02370000,政法、消防、检测设备
消防设备,A02370100,消防设备
交通管理设备,A02370200,交通管理设备
物证检验鉴定设备,A02370300,物证检验鉴定设备
安全、检查、监视、报警设备,A02370400,安全、检查、监视、报警设备
爆炸物处置设备,A02370500,爆炸物处置设备
技术侦察取证设备,A02370600,技术侦察取证设备
警械设备,A02370700,警械设备
非杀伤性武器,A02370800,非杀伤性武器
防护防暴装备,A02370900,防护防暴装备
出入境设备,A02371000,出入境设备
边界勘界和联检设备,A02371100,边界勘界和联检设备
网络监察设备,A02371200,网络监察设备
教育训练装备,A02371300,教育训练装备
政法、消防、检测设备零部件,A02371400,政法、消防、检测设备零部件
其他政法、消防、检测设备,A02379900,其他政法、消防、检测设备
水工机械,A02380000,水工机械
清淤机械,A02380100,清淤机械
破冰机械,A02380200,破冰机械
水利闸门启闭机,A02380300,水利闸门启闭机
水工机械零部件,A02380400,水工机械零部件
其他水工机械,A02389900,其他水工机械
货币处理设备,A02390000,货币处理设备
钞票处理设备,A02390100,钞票处理设备
货币清分处理设备,A02390200,货币清分处理设备
货币销毁处理设备,A02390300,货币销毁处理设备
金库门,A02390400,金库门
货币处理设备零部件,A02390500,货币处理设备零部件
其他货币处理设备,A02399900,其他货币处理设备
殡葬设备及用品,A02400000,殡葬设备及用品
火化设备,A02400100,火化设备
殡仪设备及用品,A02400200,殡仪设备及用品
殡葬设备零部件,A02400300,殡葬设备零部件
其他殡葬设备及用品,A02409900,其他殡葬设备及用品
铁路运输设备,A02410000,铁路运输设备
大型养路机械,A02410400,大型养路机械
铁路设备,A02410500,铁路设备
铁路设备零部件,A02410600,铁路设备零部件
其他铁路运输设备,A02419900,其他铁路运输设备
水上交通运输设备,A02420000,水上交通运输设备
海洋、内水调查和开发船,A02420600,海洋、内水调查和开发船
电气作业和海底工程作业船,A02420700,电气作业和海底工程作业船
挖泥、打桩船（驳）,A02420800,挖泥、打桩船（驳）
起重船和囤船,A02420900,起重船和囤船
水面工作船,A02421000,水面工作船
水面公务船,A02421100,水面公务船
特种作业船,A02421200,特种作业船
机动船,A02421300,机动船
浮船坞、码头和维修工作船,A02421400,浮船坞、码头和维修工作船
船舶制造设备,A02421500,船舶制造设备
潜水设备,A02421600,潜水设备
航标设施,A02421700,航标设施
航标灯、闪光器,A02421800,航标灯、闪光器
水上交通运输设备零部件,A02421900,水上交通运输设备零部件
其他水上交通运输设备,A02429900,其他水上交通运输设备
航空器及其配套设备,A02430000,航空器及其配套设备
固定翼飞机,A02430100,固定翼飞机
直升机,A02430200,直升机
专用飞机,A02430300,专用飞机
飞行器,A02430400,飞行器
飞机维修设备,A02430500,飞机维修设备
航空港设备,A02430600,航空港设备
机场地面特种车辆,A02430700,机场地面特种车辆
火箭及发射、维护设施,A02430800,火箭及发射、维护设施
无人机,A02430900,无人机
航空器零部件,A02431000,航空器零部件
其他航空器及其配套设备,A02439900,其他航空器及其配套设备
海洋仪器设备,A02440000,海洋仪器设备
海洋水文气象仪器设备,A02440100,海洋水文气象仪器设备
海洋地质地球物理仪器设备,A02440200,海洋地质地球物理仪器设备
海洋生物仪器设备,A02440300,海洋生物仪器设备
海洋化学仪器设备,A02440400,海洋化学仪器设备
海洋声光仪器设备,A02440500,海洋声光仪器设备
海洋船用船载仪器设备,A02440600,海洋船用船载仪器设备
海洋综合观测平台,A02440700,海洋综合观测平台
海洋执法装备,A02440800,海洋执法装备
海洋计量检测设备,A02440900,海洋计量检测设备
海水淡化与综合利用设备,A02441000,海水淡化与综合利用设备
海洋仪器设备零部件,A02441100,海洋仪器设备零部件
其他海洋仪器设备,A02449900,其他海洋仪器设备
文艺设备,A02450000,文艺设备
演出服饰,A02450200,演出服饰
舞台设备,A02450300,舞台设备
影剧院设备,A02450400,影剧院设备
文艺设备零部件,A02450500,文艺设备零部件
其他文艺设备,A02459900,其他文艺设备
体育设备设施,A02460000,体育设备设施
田赛设备,A02460100,田赛设备
径赛设备,A02460200,径赛设备
球类设备,A02460300,球类设备
体操设备,A02460400,体操设备
举重设备,A02460500,举重设备
游泳设备,A02460600,游泳设备
跳水设备,A02460700,跳水设备
水上运动设备,A02460800,水上运动设备
潜水运动设备,A02460900,潜水运动设备
冰上运动设备,A02461000,冰上运动设备
雪上运动设备,A02461100,雪上运动设备
射击设备,A02461200,射击设备
击剑设备,A02461300,击剑设备
射箭设备,A02461400,射箭设备
摩托车运动设备,A02461500,摩托车运动设备
自行车运动设备,A02461600,自行车运动设备
赛车运动设备,A02461700,赛车运动设备
赛马和马术运动设备,A02461800,赛马和马术运动设备
拳击、跆拳道设备,A02461900,拳击、跆拳道设备
摔跤、柔道设备,A02462000,摔跤、柔道设备
散打、武术设备,A02462100,散打、武术设备
棋牌类运动设备,A02462200,棋牌类运动设备
航模、海模及其他模型设备,A02462300,航模、海模及其他模型设备
垂钓器具和用品,A02462400,垂钓器具和用品
登山设备,A02462500,登山设备
健身设备,A02462600,健身设备
运动康复设备,A02462700,运动康复设备
残疾人体育及训练设备,A02462800,残疾人体育及训练设备
体育运动辅助设备,A02462900,体育运动辅助设备
体育设备零部件,A02463000,体育设备零部件
其他体育设备设施,A02469900,其他体育设备设施
娱乐设备,A02470000,娱乐设备
成套游乐场设备,A02470100,成套游乐场设备
一般游乐场设备,A02470200,一般游乐场设备
智能游艺设备,A02470300,智能游艺设备
博弈设备,A02470400,博弈设备
彩票销售设备,A02470500,彩票销售设备
卡拉 OK 设备,A02470600,卡拉 OK 设备
游戏游览用车、船,A02470700,游戏游览用车、船
活动辅助设备,A02470800,活动辅助设备
娱乐设备零部件,A02470900,娱乐设备零部件
其他娱乐设备,A02479900,其他娱乐设备
文物和陈列品,A03000000,文物和陈列品
可移动文物,A03020000,可移动文物
玉石器、宝石,A03020100,玉石器、宝石
金银器,A03020500,金银器
铁器、其他金属器,A03020600,铁器、其他金属器
雕塑、造像,A03020800,雕塑、造像
石器、石刻、砖瓦,A03020900,石器、石刻、砖瓦
书法、绘画,A03021000,书法、绘画
文具（文物）,A03021100,文具（文物）
玺印符牌,A03021300,玺印符牌
牙骨角器,A03021500,牙骨角器
竹木雕,A03021600,竹木雕
家具（文物）,A03021700,家具（文物）
珐琅器,A03021800,珐琅器
古籍善本,A03022000,古籍善本
碑帖拓本,A03022100,碑帖拓本
文件、宣传品,A03022400,文件、宣传品
档案文书,A03022500,档案文书
名人遗物,A03022600,名人遗物
玻璃器,A03022700,玻璃器
乐器、法器,A03022800,乐器、法器
音像制品,A03023000,音像制品
票据（文物）,A03023100,票据（文物）
交通、运输工具,A03023200,交通、运输工具
度量衡器,A03023300,度量衡器
标本、化石,A03023400,标本、化石
其他可移动文物,A03029900,其他可移动文物
文创衍生品,A03030000,文创衍生品
工艺美术品,A03030500,工艺美术品
民间美术品,A03030600,民间美术品
摄影艺术品,A03030700,摄影艺术品
其他文创衍生品,A03039900,其他文创衍生品
动物标本,A03040100,动物标本
人体标本,A03040200,人体标本
人体病理标本,A03040300,人体病理标本
植物标本,A03040400,植物标本
医药标本,A03040500,医药标本
矿物标本,A03040600,矿物标本
其他标本,A03049900,其他标本
天体模型,A03050100,天体模型
生物模型,A03050200,生物模型
人体模型,A03050300,人体模型
人体病理模型,A03050400,人体病理模型
其他模型,A03059900,其他模型
图书和档案,A04000000,图书和档案
普通图书,A04010100,普通图书
书籍、课本,A04010101,书籍、课本
百科全书,A04010103,百科全书
年鉴及系列丛书,A04010104,年鉴及系列丛书
儿童图画书及涂色书,A04010105,儿童图画书及涂色书
其他普通图书,A04010199,其他普通图书
盲文图书,A04010200,盲文图书
盲文书籍、课本,A04010201,盲文书籍、课本
盲文词典,A04010202,盲文词典
盲文百科全书,A04010203,盲文百科全书
盲文年鉴及系列丛书,A04010204,盲文年鉴及系列丛书
其他盲文图书,A04010299,其他盲文图书
其他图书,A04019900,其他图书
普通期刊,A04020100,普通期刊
其他普通期刊,A04020199,其他普通期刊
其他期刊,A04029900,其他期刊
特种文献资料,A04030100,特种文献资料
缩微资料,A04030200,缩微资料
视听资料,A04030300,视听资料
机读资料,A04030400,机读资料
其他资料,A04039900,其他资料
纸质档案,A04040100,纸质档案
声像档案,A04040200,声像档案
照片档案,A04040300,照片档案
缩微胶片档案,A04040700,缩微胶片档案
实物档案,A04040800,实物档案
